Passport Number,Full Name,Date of Birth,Gender,City of Birth,Country of Birth,Citizenship,Marital Status,Intake Applied For,Name of Spouse,Passport Issue Date,Phone Number,Email Address,Canadian Institution Name,Course Name,Date of Upfront Medical,Status,Biometric Date,Visa Application Date,Medical Updated,Visa Category
II7ZALFO,Anisha Mishra,1994-03-04,Female,Punjab,INDIA,INDIAN,SINGLE,Fall 2022,,2017-01-22,8801095629,anishamishra34@yahoo.com,University of Windsor,MoM-BDA,2022-02-24,Waiting for PPR,2022-06-20,2022-05-25,2022-05-05,Study Visa
HXLBPCE8,Dhaval Savalia,1997-06-02,Male,West Bengal,INDIA,INDIAN,SINGLE,Fall 2022,,2017-08-18,3541868134,dhaval.savalia@outlook.com,University of Windsor,MEng ECE,2022-01-10,Waiting for PPR,2020-12-18,2022-05-31,2022-04-20,Study Visa
7EPE569I,Hari Adharsh,1994-03-22,Male,Bihar,INDIA,INDIAN,SINGLE,Fall 2022,,2018-08-30,5561353407,hariadharsh@gmail.com,University of Windsor,MEng Civil,2021-12-22,Waiting for PPR,2022-06-16,2022-06-02,2022-04-25,Study Visa
SW3RPT56,Prince Patel,1994-12-06,Male,Madhya Pradesh,INDIA,INDIAN,SINGLE,Fall 2022,,2018-10-19,9617524018,prince.patel35@outlook.com,University of Windsor,ME IE,2022-02-26,Waiting for PPR,2022-05-12,2022-02-03,2022-01-20,Study Visa
6U6BQP6Y,Pushpinder Singh,1999-12-04,Male,Mizoram,INDIA,INDIAN,SINGLE,Fall 2022,,2021-04-01,4819046712,pushpinder.singh@gmail.com,University of Windsor,MEng IE,2022-01-28,Waiting for PPR,2022-05-02,2022-04-15,2022-03-25,Study Visa
C00A2578,Sharath,1996-03-04,Male,Mizoram,INDIA,INDIAN,SINGLE,Fall 2022,,2017-10-13,2949868006,sharath23@yahoo.com,University of Windsor,MEng ECE,2022-01-18,Waiting for PPR,2022-05-12,2022-04-23,2022-03-06,Study Visa
AGKI796F,Ramneek kumar Mittal,1996-08-25,Male,Sikkim,INDIA,INDIAN,MARRIED,Fall 2022,Reena Mittal,2016-02-12,7650195436,ramneekkumar.mittal@gmail.com,University of Windsor,MoM-IAF,2022-01-22,Waiting for PPR,2022-05-06,2022-05-01,2022-03-24,Study Visa
RXJSJSZ9,Dhorana Vignesh,1995-05-09,Male,Assam,INDIA,INDIAN,SINGLE,Fall 2022,,2017-04-24,9873271557,dhorana.vignesh@yahoo.com,University of Windsor,MEng- IE,2022-02-28,Waiting for PPR,2022-06-17,2022-06-03,2022-05-17,Study Visa
Y946PQFS,Manjot Singh,1992-10-01,Male,Madhya Pradesh,INDIA,INDIAN,SINGLE,Fall 2022,,2021-08-31,9165205505,manjot.singh@gmail.com,University of Windsor,MoM-SCM,2022-01-21,Waiting for PPR,2022-05-11,2022-04-21,2022-03-05,Study Visa
Q0PXL4KG,Ayushman Singh,1996-09-22,Male,West Bengal,INDIA,INDIAN,SINGLE,Fall 2022,,2020-12-17,3603068477,ayushman.singh23@gmail.com,University of Windsor,Meng ECE,2021-12-20,Waiting for PPR,2022-05-18,2022-05-01,2022-04-17,Study Visa
JQHFEW5F,Akshay Balla,1992-08-23,Male,Manipur,INDIA,INDIAN,SINGLE,Fall 2022,,2018-03-27,1739113404,akshay.balla@gmail.com,University of Windsor,MoM-SCM,2021-12-17,Waiting for PPR,2022-05-24,2022-05-05,2022-05-07,Study Visa
8DYRKCT6,Sanchit,1993-03-03,Male,Telangana,INDIA,INDIAN,SINGLE,Fall 2022,,2016-08-19,2314630369,sanchit67@gmail.com,University of Windsor,Meng IE,2022-02-09,Waiting for PPR,2022-06-15,2022-06-06,2022-06-09,Study Visa
78V6G7W7,Sneh Patel,1996-01-27,Female,Odisha,INDIA,INDIAN,SINGLE,Fall 2022,,2016-06-20,1277559116,sneh.23patel@gmail.com,University of Windsor,MEng- ECE,2022-02-28,Waiting for PPR,2022-07-13,2022-06-09,2022-06-13,Study Visa
RKDR8WOM,Adarsh Ojha,1994-07-31,Male,Punjab,INDIA,INDIAN,SINGLE,Fall 2022,,2016-05-27,9964386428,adarsh.ojha@gmail.com,University of Windsor,MoM-BDA,2021-12-30,Waiting for PPR,2022-05-04,2022-04-19,2022-04-26,Study Visa
ENDJIV3S,Irene Ann Patric,1992-11-23,Male,Sikkim,INDIA,INDIAN,SINGLE,Fall 2022,,2015-02-15,8939924512,ireneann.patric@gmail.com,University of Windsor,M Eng - IE,2022-02-20,Waiting for PPR,2022-06-01,2022-05-26,2022-05-30,Study Visa
KMUY2C8Y,Emmanuel Alocious,2000-09-29,Female,Goa,INDIA,INDIAN,SINGLE,Fall 2022,,2021-04-07,3655806409,emmanuel.alocious@yahoo.com,University of Windsor,MEng Mechanical (Automotive Option),2022-02-04,Waiting for PPR,2022-06-30,2022-06-22,2022-06-26,Study Visa
QKEVRLMQ,Darshil Nanavati,1994-09-05,Female,Assam,INDIA,INDIAN,SINGLE,Fall 2022,,2020-08-02,4955125811,darshil.nanavati@gmail.com,University of Windsor,M.Eng ECE,2021-12-28,Waiting for PPR,2022-06-30,2022-06-25,2022-06-29,Study Visa
M7IG91LA,Krii Chandrashekar,1997-05-20,Female,Kerala,INDIA,INDIAN,SINGLE,Fall 2022,,2019-07-15,6923841460,krii.chandrashekar@outlook.com,University of Windsor,MoM-BDA,2021-12-15,Waiting for PPR,2022-06-06,2022-05-17,2022-06-23,Study Visa
RAAGJNCV,Rutvik Gaudani,1992-01-25,Male,Jharkhand,INDIA,INDIAN,SINGLE,Fall 2022,,2018-11-16,6272377720,rutvikgaudani@yahoo.com,University of Windsor,MAC,2022-01-15,Waiting for PPR,2022-06-09,2022-05-26,2022-05-30,Study Visa
9TFLPXAC,Rohan Aswani,1999-02-26,Male,Punjab,INDIA,INDIAN,SINGLE,Fall 2022,,2020-05-12,8195184513,rohanaswani13@gmail.com,University of Windsor,MAC,2021-12-20,Waiting for PPR,2022-06-17,2022-05-27,2022-06-02,Study Visa
8C3Y91CS,Cleon Pinto,1997-05-03,Male,Arunachal Pradesh,INDIA,INDIAN,SINGLE,Fall 2022,,2017-01-19,914241664,cleon.pinto56@gmail.com,University of Windsor,MEng-IE,2021-12-26,Waiting for PPR,2022-06-06,2022-05-31,2022-06-05,Study Visa
6EC2DT9F,Jomya,1996-02-25,Male,Uttarakhand,INDIA,INDIAN,SINGLE,Fall 2022,,2017-01-28,628267446,jomyaks23@gmail.com,University of Windsor,MAC,2022-01-12,Waiting for PPR,2022-06-17,2022-06-08,2022-06-12,Study Visa
OV5K2REV,James Heller,1996-10-14,Male,Chhattisgarh,INDIA,INDIAN,SINGLE,Fall 2022,,2021-08-01,4903317403,james.heller@yahoo.com,University of Windsor,MEng Mech (A),2022-02-24,Waiting for PPR,2022-07-12,2022-06-12,2022-06-16,Study Visa
9X91DT8W,Akash S.,1997-09-27,Male,Sikkim,INDIA,INDIAN,SINGLE,Fall 2022,,2016-03-22,8853919885,akashss23@yahoo.com,University of Windsor,MoM-SCM,2022-01-12,Waiting for PPR,2022-05-30,2022-05-25,2022-05-28,Study Visa
KR595XEJ,Savan rajpurohit,2000-03-19,Male,Uttar Pradesh,INDIA,INDIAN,SINGLE,Fall 2022,,2019-02-23,1272228953,savan.rajpurohit@gmail.com,University of Windsor,MEng Civil,2022-01-07,Waiting for PPR,2022-06-09,2022-06-02,2022-06-16,Study Visa
C0VMYURH,Jijo Sabu,1992-11-11,Male,Karnataka,INDIA,INDIAN,SINGLE,Fall 2022,,2017-05-14,3083534329,jijosabu@yahoo.com,University of Windsor,MAC,2021-12-15,Waiting for PPR,2022-06-07,2022-06-03,2022-06-07,Study Visa
0FF8NG7K,Nithin Reddy,1994-08-20,Male,Punjab,INDIA,INDIAN,SINGLE,Fall 2022,,2018-03-09,9772523949,nithin.reddy@yahoo.com,University of Windsor,MoM- BDA,2022-02-14,Waiting for PPR,2022-07-01,2022-06-04,2022-06-08,Study Visa
0GVXC28A,Haider sultan,1995-09-24,Male,West Bengal,INDIA,INDIAN,SINGLE,Fall 2022,,2016-08-29,4811669225,haider.sultan@gmail.com,University of Windsor,MEng Civil,2021-12-19,Waiting for PPR,2022-06-29,2022-06-27,2022-07-02,Study Visa
0E17AAT5,Jonathan Adams,1994-07-18,Male,Jammu and Kashmir,INDIA,INDIAN,SINGLE,Fall 2022,,2018-08-01,9372498953,jonathan.adams@gmail.com,University of Windsor,MoM-SCM,2021-12-08,Waiting for PPR,2022-06-30,2022-06-15,2022-06-19,Study Visa
V2MKD8YO,Rohan Thacker,1998-05-06,Male,Chhattisgarh,INDIA,INDIAN,SINGLE,Fall 2022,,2020-10-19,8046485716,rohan.thacker@gmail.com,University of Windsor,MEng- Industrial,2022-02-28,Waiting for PPR,2022-06-27,2022-06-16,2022-06-20,Study Visa
EAURNQF7,Anubhav Kumar Rajat,1997-04-29,Male,Jharkhand,INDIA,INDIAN,SINGLE,Fall 2022,,2020-03-10,7748313406,anubhavkumar.rajat@gmail.com,University of Windsor,MAC,2022-01-30,Waiting for PPR,2022-07-22,2022-07-04,2022-07-10,Study Visa
JU5HGH1D,Anchal,1993-09-22,Female,Uttarakhand,INDIA,INDIAN,SINGLE,Fall 2022,,2021-08-06,7830784623,anchal45@gmail.com,University of Windsor,Meng- ECE,2022-03-09,Waiting for PPR,2022-06-30,2022-05-13,2022-05-17,Study Visa
R8DDHSJO,Vijayamadhu,1999-07-12,Male,Kerala,INDIA,INDIAN,SINGLE,Fall 2022,,2018-06-04,4050018858,vijayamadhu56@gmail.com,University of Windsor,ME Industrial engineering,2022-01-25,Waiting for PPR,2022-07-02,2022-06-03,2022-06-07,Study Visa
69BR2YYV,Manan Patel,1993-07-15,Female,Manipur,INDIA,INDIAN,SINGLE,Fall 2022,,2020-06-06,3070154241,manan.patel@gmail.com,University of Windsor,MAC,2022-03-06,Waiting for PPR,2022-06-17,2022-06-09,2022-06-12,Study Visa
2YXGBZ2V,Abdullah Anwar,1993-04-19,Male,Meghalaya,INDIA,INDIAN,SINGLE,Fall 2022,,2018-11-20,1287511226,abdullah.anwar@gmail.com,University of Windsor,MOM-SCM,2022-02-01,Waiting for PPR,2022-06-16,2022-06-13,2022-06-18,Study Visa
18Q0AQTZ,Vighnesh,1993-09-11,Male,Karnataka,INDIA,INDIAN,SINGLE,Fall 2022,,2015-05-16,1845214182,vighnesh@gmail.com,University of Windsor,MOM-BDA,2022-02-24,Waiting for PPR,2022-05-01,2022-04-17,2022-04-21,Study Visa
VCZ1ZWCL,Shubham Hingol,1992-03-17,Male,Kerala,INDIA,INDIAN,SINGLE,Fall 2022,,2016-05-08,9588992783,shubham.hingol@gmail.com,University of Windsor,MEng. ECE,2022-02-14,Waiting for PPR,2022-06-24,2022-06-13,2022-06-20,Study Visa
ZF3SM9PX,Nethra,1994-10-08,Male,Haryana,INDIA,INDIAN,SINGLE,Fall 2022,,2020-05-16,4702974253,nethra.v56@yahoo.com,University of Windsor,MAC,2022-02-01,Waiting for PPR,2022-06-23,2022-06-16,2022-06-22,Study Visa
9VN452IO,Harsh Patel,1999-04-13,Male,Meghalaya,INDIA,INDIAN,SINGLE,Fall 2022,,2020-10-30,4326759884,harsh.patel@yahoo.com,University of Windsor,Meng- ECE,2021-12-25,Waiting for PPR,2022-06-29,2022-05-26,2022-07-30,Study Visa
T20TBD1G,Parth Goswami,1999-03-26,Female,Punjab,INDIA,INDIAN,SINGLE,Fall 2022,,2020-08-11,1304560140,parth.goswami@outlook.com,University of Windsor,MEng Civil,2022-03-03,Waiting for PPR,2022-07-12,2022-06-15,2022-06-20,Study Visa
HTXEDWJ0,Hitesh Chegu,1998-05-04,Female,Tripura,INDIA,INDIAN,SINGLE,Fall 2022,,2018-07-05,6918182257,hiteshchegu@gmail.com,University of Windsor,MoM-BDA,2022-02-02,Waiting for PPR,2022-07-27,2022-07-07,2022-05-12,Study Visa
67IX1GNH,Parvendra Singh,1993-05-09,Female,Tamil Nadu,INDIA,INDIAN,SINGLE,Fall 2022,,2021-09-12,6424206005,parvendra2singh@gmail.com,University of Windsor,MAC,2022-01-10,Waiting for PPR,2022-05-28,2022-05-24,2022-05-30,Study Visa
HGZMMHO6,Arunkumar Pichappan,1993-08-29,Male,Odisha,INDIA,INDIAN,SINGLE,Fall 2022,,2016-11-27,2654078768,arunkumar.pichappan@gmail.com,University of Windsor,MEng IE,2022-01-05,Waiting for PPR,2022-06-09,2022-06-03,2022-06-10,Study Visa
HDJRA4PH,Shivanshi Gupta,1992-11-07,Male,Mizoram,INDIA,INDIAN,SINGLE,Fall 2022,,2019-08-10,1325035737,shivanshi.gupta@gmail.com,University of Windsor,MASc(thesis) civil,2022-01-15,Waiting for PPR,2022-06-02,2022-05-13,2022-05-19,Study Visa
HF65TFAF,Mehta vatsal,2000-09-16,Male,Rajasthan,INDIA,INDIAN,SINGLE,Fall 2022,,2015-05-11,3348627950,mehta25vatsal@gmail.com,University of Windsor,MEng Civil,2022-02-22,Waiting for PPR,2022-07-27,2022-06-22,2022-06-16,Study Visa
VO9RENL6,Gopala Krishna Matta,1993-06-15,Male,Sikkim,INDIA,INDIAN,SINGLE,Fall 2022,,2019-06-13,5949807281,gopalakrishnamatta@gmail.com,University of Windsor,MEng Civil,2022-02-22,Waiting for PPR,2022-06-24,2022-06-13,2022-06-19,Study Visa
3IY2WTNY,Akhil John,1995-09-14,Male,Assam,INDIA,INDIAN,SINGLE,Fall 2022,,2020-03-12,8782093105,akhil.john@gmail.com,University of Windsor,Mom-SCM,2021-12-27,Waiting for PPR,2022-06-24,2022-05-12,2022-05-18,Study Visa
QYN1DPLM,Swaroop,1993-10-05,Male,Himachal Pradesh,INDIA,INDIAN,SINGLE,Fall 2022,,2018-08-29,8833911118,swaroop45@outlook.com,University of Windsor,MAC,2021-12-03,Waiting for PPR,2022-07-11,2022-06-25,2022-07-02,Study Visa
7ARXLO5Z,Keval Dungarani,1994-09-20,Male,Sikkim,INDIA,INDIAN,SINGLE,Fall 2022,,2015-04-29,3501552509,keval.dungarani@yahoo.com,University of Windsor,M.Engg Mechanical,2022-03-09,Waiting for PPR,2022-07-07,2022-07-02,2022-07-10,Study Visa
3SOR4Z5D,Aman Mehra,1992-01-08,Male,Goa,INDIA,INDIAN,SINGLE,Fall 2022,,2015-07-02,3591544670,aman.mehra@gmail.com,University of Windsor,MENG ECE,2022-01-13,Waiting for PPR,2022-07-14,2022-06-17,2022-06-22,Study Visa
ZI3VJXL5,Anuroop Sreepuram,1998-09-25,Male,Gujarat,INDIA,INDIAN,SINGLE,Fall 2022,,2021-06-22,9497296764,anuroop.sreepuram@gmail.com,University of Windsor,MAC,2022-01-16,Waiting for PPR,2022-07-04,2022-06-27,2022-07-02,Study Visa
5R563G7D,Macnath Ravichandran,1993-06-16,Male,Mizoram,INDIA,INDIAN,SINGLE,Fall 2022,,2018-11-25,6080191954,macnath.ravichandran@outlook.com,University of Windsor,Mom-BDA,2022-02-28,Waiting for PPR,2022-07-12,2022-07-01,2022-07-06,Study Visa
2W5UR6XO,Gaayathri T,1998-06-26,Male,Uttarakhand,INDIA,INDIAN,SINGLE,Fall 2022,,2020-09-18,374267294,gaayathrit56@yahoo.com,University of Windsor,MEng ECE,2021-12-06,Waiting for PPR,2022-06-16,2022-06-12,2022-06-20,Study Visa
1KXCEQK6,Pranav Kovuri,1995-08-17,Female,Telangana,INDIA,INDIAN,SINGLE,Fall 2022,,2021-04-23,7922627075,pranav.kovuri@gmail.com,University of Windsor,Meng Ece,2022-02-16,Waiting for PPR,2022-06-16,2022-06-06,2022-06-12,Study Visa
15WGHLOJ,Abubacker Sidique S,1992-10-18,Female,Punjab,INDIA,INDIAN,SINGLE,Fall 2022,,2018-01-19,4742867257,abubacker.sidique.s@gmail.com,University of Windsor,M.Eng Automotive,2022-01-17,Waiting for PPR,2022-06-07,2022-06-03,2022-06-10,Study Visa
GLL3BWFQ,Padmanabha Rao B,1999-05-25,Female,Chhattisgarh,INDIA,INDIAN,SINGLE,Fall 2022,,2017-04-27,4393974664,padmanabharaob@gmail.com,University of Windsor,Meng civil,2022-01-13,Waiting for PPR,2022-07-20,2022-07-07,2022-07-15,Study Visa
WGRK1EVP,Atul Anand,1996-10-13,Female,Bihar,INDIA,INDIAN,SINGLE,Fall 2022,,2019-08-01,351119273,atul.anand@gmail.com,University of Windsor,MOM- SCM,2022-02-15,Waiting for PPR,2022-06-14,2022-06-08,2022-06-12,Study Visa
FDQW4JD8,Srishti Agrawal,1999-10-23,Male,Assam,INDIA,INDIAN,SINGLE,Fall 2022,,2021-09-27,4315254070,srishti.agrawal@gmail.com,University of Windsor,MoM-BDA,2022-02-17,Waiting for PPR,2022-06-15,2022-06-10,2022-06-15,Study Visa
PSSMAZ7M,Jay Panchal,1999-12-18,Male,Jammu and Kashmir,INDIA,INDIAN,SINGLE,Fall 2022,,2018-03-22,3238006257,jay.panchal@gmail.com,University of Windsor,MEng ECE,2021-12-24,Waiting for PPR,2022-06-20,2022-05-24,2022-05-30,Study Visa
BODXWCYW,Jainik Suhagiya,1999-12-19,Male,Haryana,INDIA,INDIAN,SINGLE,Fall 2022,,2017-02-17,9872802916,jainik.suhagiya@gmail.com,University of Windsor,Meng-ECE,2022-03-12,Waiting for PPR,2022-05-20,2022-05-18,2022-05-23,Study Visa
0JOR3J06,Murali,2000-08-24,Male,Tripura,INDIA,INDIAN,SINGLE,Fall 2022,,2015-04-13,8263110080,murali34@gmail.com,University of Windsor,MoM-BDA,2022-02-28,Waiting for PPR,2022-07-05,2022-06-22,2022-06-26,Study Visa
SOLK4PXW,Umer Abdur Rahman,1996-12-03,Female,Maharashtra,INDIA,INDIAN,SINGLE,Fall 2022,,2015-05-30,7574287703,umerabdur.rahman@yahoo.com,University of Windsor,MEng Civil,2022-02-14,Waiting for PPR,2022-06-28,2022-06-07,2022-06-15,Study Visa
G6J09CDB,Nitin Mishra,1998-12-18,Female,Punjab,INDIA,INDIAN,SINGLE,Fall 2022,,2019-06-25,94486800,nitin.mishra@gmail.com,University of Windsor,Mom-BDA,2021-12-27,Waiting for PPR,2022-06-13,2022-05-24,2022-05-30,Study Visa
BCT3OWM7,Mrinal Walia,1996-12-27,Female,Mizoram,INDIA,INDIAN,SINGLE,Fall 2022,,2017-08-26,3234684613,mrinal.walia@gmail.com,University of Windsor,MAC,2021-12-08,Waiting for PPR,2022-06-24,2022-06-08,2022-06-15,Study Visa
ZKD6R0QZ,Jazz,1996-07-11,Female,Madhya Pradesh,INDIA,INDIAN,SINGLE,Fall 2022,,2018-03-05,1946138397,jazz34@yahoo.com,University of Windsor,MoM-BDA,2021-12-16,Waiting for PPR,2022-06-30,2022-06-25,2022-06-30,Study Visa
IUCI3324,Shubhada P,1997-02-17,Female,Gujarat,INDIA,INDIAN,SINGLE,Fall 2022,,2018-08-23,3411546070,shubhadap90@yahoo.com,University of Windsor,MoM-IAF,2022-02-03,Waiting for PPR,2022-06-15,2022-06-06,2022-06-15,Study Visa
DQ7BH2CO,Pranay Badgujar,1998-10-13,Female,Assam,INDIA,INDIAN,SINGLE,Fall 2022,,2019-09-26,3658098314,pranay.badgujar@gmail.com,University of Windsor,Meng Civil,2022-01-28,Waiting for PPR,2022-06-21,2022-06-18,2022-06-16,Study Visa
DPWFAOFG,Clint John,1995-10-08,Female,Himachal Pradesh,INDIA,INDIAN,SINGLE,Fall 2022,,2015-09-10,4019528809,clint.john1@gmail.com,University of Windsor,M.Eng Industrial,2022-01-26,Waiting for PPR,2022-06-04,2022-06-01,2022-06-10,Study Visa
64L3U5Z2,Haider Mirza,1998-02-03,Female,Haryana,INDIA,INDIAN,SINGLE,Fall 2022,,2019-03-13,6631570102,haider.mirza@gmail.com,University of Windsor,MEng- industrial,2021-12-07,Waiting for PPR,2022-08-03,2022-06-01,2022-06-12,Study Visa
NJ2FS69K,MIT SHAH,1995-06-08,Female,Kerala,INDIA,INDIAN,SINGLE,Fall 2022,,2017-06-30,7420637452,mitshah29@gmail.com,University of Windsor,MEng- Mechanical,2022-02-21,Waiting for PPR,2022-07-07,2022-06-01,2022-06-08,Study Visa
1PJIEXFM,Nitish,1998-09-13,Female,West Bengal,INDIA,INDIAN,SINGLE,Fall 2022,,2020-05-29,3311408835,nitish12@gmail.com,University of Windsor,Meng-Mechanical,2022-02-01,Waiting for PPR,2022-06-29,2022-06-02,2022-06-12,Study Visa
S1RAR91W,Rifat I Rahim,1999-08-20,Female,Madhya Pradesh,INDIA,INDIAN,SINGLE,Fall 2022,,2019-12-01,7517299856,rifati.rahim@gmail.com,University of Windsor,MoM-SCM,2021-12-12,Waiting for PPR,2022-06-18,2022-06-07,2022-06-18,Study Visa
XFQHHN3L,Kaushik Prajapati,1994-12-02,Male,Maharashtra,INDIA,INDIAN,SINGLE,Fall 2022,,2015-01-30,7065476045,kaushik.prajapati12@gmail.com,University of Windsor,MEng Civil,2021-12-25,Waiting for PPR,2022-06-22,2022-06-15,2022-06-24,Study Visa
K4JYM4ZY,Avi Gupta,1998-06-25,Male,Madhya Pradesh,INDIA,INDIAN,SINGLE,Fall 2022,,2017-11-28,9118692892,avi.gupta56@gmail.com,University of Windsor,MoM-BDA,2021-12-20,Waiting for PPR,2022-06-24,2022-06-16,2022-06-27,Study Visa
TGQY6CGK,Amal Babu,1994-08-10,Male,Odisha,INDIA,INDIAN,SINGLE,Fall 2022,,2021-01-22,2636230148,amalbabu57@gmail.com,University of Windsor,MEng Mech (A),2021-12-13,Waiting for PPR,2022-06-29,2022-06-17,2022-06-28,Study Visa
2W1NYQKB,vaghani divyang,1992-10-21,Male,Manipur,INDIA,INDIAN,SINGLE,Fall 2022,,2015-09-12,7498777062,vaghani.divyang@gmail.com,University of Windsor,MENG MECHANICAL,2022-02-20,Waiting for PPR,2022-06-20,2022-06-17,2022-06-28,Study Visa
4PQYR6MK,Dheeraj Gavini,1992-04-04,Male,Sikkim,INDIA,INDIAN,SINGLE,Fall 2022,,2017-04-29,2695283252,dheeraj.gavini@yahoo.com,University of Windsor,MAC,2022-03-11,Waiting for PPR,2022-06-28,2022-06-24,2022-06-30,Study Visa
R56B5SGM,Anurag Tripathi,1995-12-18,Male,Punjab,INDIA,INDIAN,SINGLE,Fall 2022,,2018-03-26,974265773,anurag.tripathi@yahoo.com,University of Windsor,M.Ed,2022-02-04,Waiting for PPR,2022-06-27,2022-06-26,2022-07-02,Study Visa
XR6IU54T,Chaudhary Haider sultan,1999-11-24,Male,Arunachal Pradesh,INDIA,INDIAN,SINGLE,Fall 2022,,2015-09-03,759615625,chaudharyhaider.sultan@gmail.com,University of Windsor,MEng Civil,2022-02-16,Waiting for PPR,2022-06-29,2022-06-27,2022-07-06,Study Visa
WG9WO948,Naitya shah,1997-05-21,Male,Haryana,INDIA,INDIAN,SINGLE,Fall 2022,,2015-06-04,2393838897,naitya.shah@gmail.com,University of Windsor,Meng Mechanical,2021-12-03,Waiting for PPR,2022-06-30,2022-06-27,2022-07-10,Study Visa
1Q9R1XHL,debanshu dhyani,1998-02-17,Male,Sikkim,INDIA,INDIAN,SINGLE,Fall 2022,,2018-01-03,158195081,debanshu.dhyani@gmail.com,University of Windsor,Meng ECE,2021-12-11,Waiting for PPR,2022-07-08,2022-06-30,2022-07-12,Study Visa
6E2RHOC9,Sachin Sunny,1993-10-10,Male,Arunachal Pradesh,INDIA,INDIAN,SINGLE,Fall 2022,,2019-06-08,7750695348,sachin.sunny@gmail.com,University of Windsor,Mom BDA,2022-03-04,Waiting for PPR,2022-07-15,2022-06-30,2022-07-11,Study Visa
